Country,Primary Color HEX,Secondary Color HEX
"Algeria",#006233,#D21034
"Argentina",#74ACDF,#FFD700
"Australia",#00008B,#FFCD00
"Austria",#ED2939,#E0E0E0
"Belgium",#E30613,#FFD938
"Bosnia and Herzegovina",#002F6C,#FFCD00
"Brazil",#009C3B,#FFDF00
"Cape Verde",#003893,#FFD100
"Canada",#FF0000,#A8A8A8
"Colombia",#FCD116,#003893
"Congo DR",#007FFF,#FCE100
"Côte d'Ivoire",#F77F00,#009E60
"Croatia",#FF0000,#00205B
"Curaçao",#002B7F,#F9E814
"Czech Republic",#11457E,#D7141A
"Ecuador",#FFDD00,#03234C
"Egypt",#C8102E,#000000
"England",#CE1124,#CFCECD
"France",#0055A4,#EF4135
"Germany",#000000,#FFCC00
"Ghana",#D21034,#FCD116
"Haiti",#00209F,#D21034
"Iran",#228B22,#DA291C
"Iraq",#007A3D,#DA291C
"Italy",#008C45,#CD212A
"Japan",#BC002D,#E0E0E0
"Jordan",#007A3D,#DA291C
"Korea Republic",#CD2E3A,#0047A0
"Mexico",#006341,#CE1126
"Morocco",#C1272D,#006233
"Netherlands",#21468B,#AE1C28
"New Zealand",#00247D,#CC142B
"Norway",#EF2B2D,#002868
"Panama",#DA121A,#0051B4
"Paraguay",#D52B1E,#0038A8
"Portugal",#E42518,#006600
"Qatar",#8A1538,#E5E5E5
"Saudi Arabia",#006C35,#E2E2E2
"Scotland",#005EB8,#D1D1D1
"Senegal",#FCD116,#00853F
"South Africa",#007A4D,#DE382B
"Spain",#AA151B,#FBC02D
"Sweden",#006AA7,#FECC00
"Switzerland",#DA291C,#D6D6D6
"Tunisia",#E70013,#EBEBEB
"Turkey",#E30A17,#E1E1E1
"United States",#B31942,#0A3161
"Uruguay",#0081C6,#FCD116
"Uzbekistan",#0099B5,#CE1126
